peak_utc,peak_counts,class_like
2024-05-15 20:29:55,28.2,B/A
2024-05-15 20:32:03,29.4,B/A
2024-05-15 20:35:00,27.6,B/A
2024-05-15 20:37:25,30.4,B/A
2024-05-15 20:39:28,28.1,B/A
2024-05-15 20:41:34,30.7,B/A
2024-05-15 20:44:28,29.8,B/A
2024-05-15 20:47:04,30.5,B/A
2024-05-15 20:49:41,27.4,B/A
2024-05-15 20:52:10,27.9,B/A
2024-05-15 20:54:20,33.8,B/A
2024-05-15 20:56:55,27.6,B/A
2024-05-15 20:59:55,28.8,B/A
2024-05-15 21:02:01,28.5,B/A
2024-05-15 21:04:11,26.6,B/A
2024-05-15 21:06:55,28.5,B/A
2024-05-15 21:09:50,29.5,B/A
2024-05-15 21:12:38,29.8,B/A
2024-05-15 21:15:23,31.3,B/A
2024-05-15 21:17:52,31.4,B/A
2024-05-15 21:19:57,28.8,B/A
2024-05-15 21:22:00,28.7,B/A
2024-05-15 21:24:15,29.0,B/A
2024-05-15 21:28:13,27.2,B/A
2024-05-15 21:30:52,29.2,B/A
2024-05-15 21:34:23,30.7,B/A
2024-05-15 21:36:42,30.8,B/A
2024-05-15 21:39:00,29.3,B/A
2024-05-15 21:41:18,28.4,B/A
2024-05-15 21:43:32,31.8,B/A
2024-05-15 21:46:16,28.8,B/A
2024-05-15 21:48:17,29.3,B/A
2024-05-15 21:51:37,29.5,B/A
2024-05-15 21:53:53,27.8,B/A
2024-05-15 21:57:10,27.5,B/A
2024-05-15 21:59:50,30.1,B/A
2024-05-15 22:04:46,29.8,B/A
2024-05-15 22:08:12,28.1,B/A
2024-05-15 22:10:40,27.6,B/A
2024-05-15 22:13:38,28.5,B/A
2024-05-15 22:15:47,33.4,B/A
2024-05-15 22:18:02,31.2,B/A
2024-05-15 22:22:00,27.1,B/A
2024-05-15 22:24:50,30.1,B/A
2024-05-15 22:27:15,31.0,B/A
2024-05-15 22:29:28,28.4,B/A
2024-05-15 22:32:39,30.3,B/A
2024-05-15 22:35:23,28.4,B/A
2024-05-15 22:37:45,31.9,B/A
2024-05-15 22:40:42,27.6,B/A
2024-05-15 22:42:44,28.3,B/A
2024-05-15 22:44:55,28.3,B/A
2024-05-15 22:47:11,28.0,B/A
2024-05-15 22:50:24,26.9,B/A
2024-05-15 22:52:43,28.8,B/A
2024-05-15 22:56:00,30.0,B/A
2024-05-15 22:59:12,31.0,B/A
2024-05-15 23:02:01,29.5,B/A
2024-05-15 23:04:10,28.9,B/A
2024-05-15 23:06:55,29.2,B/A
2024-05-15 23:09:33,31.0,B/A
2024-05-15 23:11:59,27.7,B/A
2024-05-15 23:14:39,27.8,B/A
2024-05-15 23:17:22,29.7,B/A
2024-05-15 23:19:58,31.0,B/A
2024-05-15 23:22:50,29.2,B/A
